name	defined	refCount	sampleRef
parseRules	C:\Dev\Projects\JotFolio\source\src\lib\keywordRules\parseRules.js:27	4	C:\Dev\Projects\JotFolio\source\src\features\settings\KeywordRulesPanel.jsx:12
RULES_PATH	C:\Dev\Projects\JotFolio\source\src\lib\keywordRules\rulesStorage.js:19	0
RULES_DIR	C:\Dev\Projects\JotFolio\source\src\lib\keywordRules\rulesStorage.js:22	0
loadRules	C:\Dev\Projects\JotFolio\source\src\lib\keywordRules\rulesStorage.js:32	4	C:\Dev\Projects\JotFolio\source\src\lib\keywordRules\useKeywordRules.js:2
saveRules	C:\Dev\Projects\JotFolio\source\src\lib\keywordRules\rulesStorage.js:58	3	C:\Dev\Projects\JotFolio\source\src\lib\keywordRules\useKeywordRules.js:2
useKeywordRules	C:\Dev\Projects\JotFolio\source\src\lib\keywordRules\useKeywordRules.js:25	4	C:\Dev\Projects\JotFolio\source\src\App.jsx:54
confirmMemory	C:\Dev\Projects\JotFolio\source\src\lib\memory\confirmMemory.js:26	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:58
graduateTied	C:\Dev\Projects\JotFolio\source\src\lib\memory\graduateTied.js:48	3	C:\Dev\Projects\JotFolio\source\src\App.jsx:60
parseFacts	C:\Dev\Projects\JotFolio\source\src\lib\memory\parseFacts.js:29	3	C:\Dev\Projects\JotFolio\source\src\features\constellation\MemoryDetailPanel.jsx:2
splitMemory	C:\Dev\Projects\JotFolio\source\src\lib\memory\splitMemory.js:37	3	C:\Dev\Projects\JotFolio\source\src\App.jsx:59
parseBlockRefs	C:\Dev\Projects\JotFolio\source\src\lib\parser\blocks.js:12	6	C:\Dev\Projects\JotFolio\source\src\lib\parser\parser.test.js:7
findCodeRanges	C:\Dev\Projects\JotFolio\source\src\lib\parser\codeMask.js:15	18	C:\Dev\Projects\JotFolio\source\src\lib\parser\blocks.js:8
isInside	C:\Dev\Projects\JotFolio\source\src\lib\parser\codeMask.js:70	16	C:\Dev\Projects\JotFolio\source\src\lib\parser\blocks.js:8
lineAt	C:\Dev\Projects\JotFolio\source\src\lib\parser\codeMask.js:77	9	C:\Dev\Projects\JotFolio\source\src\lib\parser\embeds.js:8
parseEmbeds	C:\Dev\Projects\JotFolio\source\src\lib\parser\embeds.js:12	5	C:\Dev\Projects\JotFolio\source\src\lib\parser\parser.test.js:6
isImageEmbed	C:\Dev\Projects\JotFolio\source\src\lib\parser\embeds.js:42	6	C:\Dev\Projects\JotFolio\source\src\lib\parser\parser.test.js:6
slugify	C:\Dev\Projects\JotFolio\source\src\lib\parser\headings.js:16	13	C:\Dev\Projects\JotFolio\source\src\lib\frontmatter.js:258
parseHeadings	C:\Dev\Projects\JotFolio\source\src\lib\parser\headings.js:25	6	C:\Dev\Projects\JotFolio\source\src\lib\parser\parser.test.js:4
parseInlineTags	C:\Dev\Projects\JotFolio\source\src\lib\parser\tags.js:21	8	C:\Dev\Projects\JotFolio\source\src\lib\parser\parser.test.js:5
parseFrontmatterTags	C:\Dev\Projects\JotFolio\source\src\lib\parser\tags.js:45	4	C:\Dev\Projects\JotFolio\source\src\lib\parser\parser.test.js:5
mergeTags	C:\Dev\Projects\JotFolio\source\src\lib\parser\tags.js:56	3	C:\Dev\Projects\JotFolio\source\src\lib\parser\parser.test.js:5
parseWikilinks	C:\Dev\Projects\JotFolio\source\src\lib\parser\wikilinks.js:21	19	C:\Dev\Projects\JotFolio\source\src\lib\index\vaultIndex.js:1
wordCountPlugin	C:\Dev\Projects\JotFolio\source\src\lib\plugin\builtinPlugins\wordCount.js:11	3	C:\Dev\Projects\JotFolio\source\src\App.jsx:52
renderWordCountPanel	C:\Dev\Projects\JotFolio\source\src\lib\plugin\builtinPlugins\WordCountPanel.jsx:7	2	C:\Dev\Projects\JotFolio\source\src\lib\plugin\builtinPlugins\wordCount.js:9
countWords	C:\Dev\Projects\JotFolio\source\src\lib\plugin\builtinPlugins\wordCountStats.js:7	2	C:\Dev\Projects\JotFolio\source\src\features\editor\NoteBody.jsx:23
wordCountSummary	C:\Dev\Projects\JotFolio\source\src\lib\plugin\builtinPlugins\wordCountStats.js:14	4	C:\Dev\Projects\JotFolio\source\src\lib\plugin\builtinPlugins\wordCount.js:8
createPluginHost	C:\Dev\Projects\JotFolio\source\src\lib\plugin\pluginHost.js:17	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:25
rankNotes	C:\Dev\Projects\JotFolio\source\src\lib\quickSwitcher\quickSwitcherSearch.js:80	2	C:\Dev\Projects\JotFolio\source\src\features\quickSwitcher\QuickSwitcher.jsx:2
findExactMatch	C:\Dev\Projects\JotFolio\source\src\lib\quickSwitcher\quickSwitcherSearch.js:107	2	C:\Dev\Projects\JotFolio\source\src\features\quickSwitcher\QuickSwitcher.jsx:2
